::tag,,,,,,,,,,,
id,icon,color,name,user_id,default_tag,,,,,,
{{genGuid(kew_gog)}},google,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_dom)}},domain,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_buc)}},buch,{{useGuid(tag_hob)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_sky)}},sky,{{useGuid(tag_sub)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_net)}},netflix,{{useGuid(tag_sub)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_dis)}},disney,{{useGuid(tag_sub)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_swi)}},swisscom,{{useGuid(tag_sub)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_sun)}},sunrise,{{useGuid(tag_sub)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_slt)}},salt,{{useGuid(tag_sub)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_spt)}},spotify,{{useGuid(tag_sub)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_prm)}},prime,{{useGuid(tag_sub)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_hlu)}},hulu,{{useGuid(tag_sub)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_apo)}},apotheke,{{useGuid(tag_hea)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_art)}},arzt,{{useGuid(tag_hea)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_krk)}},krankenhaus,{{useGuid(tag_hea)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_mdi)}},medizin,{{useGuid(tag_hea)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_spi)}},spital,{{useGuid(tag_hea)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_drg)}},drogerie,{{useGuid(tag_hea)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_phr)}},pharmacie,{{useGuid(tag_hea)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_kli)}},klinik,{{useGuid(tag_hea)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_phs)}},physio,{{useGuid(tag_hea)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_zhn)}},zahn,{{useGuid(tag_hea)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_aug)}},auge,{{useGuid(tag_hea)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_bri)}},brille,{{useGuid(tag_hea)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_fil)}},fielman,{{useGuid(tag_hea)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_vis)}},visilab,{{useGuid(tag_hea)}},{{useVar(user_id)}},,,,,,,,
{{genGuid(kew_dau)}},E-Banking Dauerauftrag an Robert Müller - Monatliche Schulden,{{useGuid(tag_sub)}},{{useVar(user_id)}},,,,,,,,
,,,,,,,,,,,
::transaction,,,,,,,,,,,
id,expense,transaction_date,bankaccount,amount,receiver,tag_id,matching_keyword_id,need_user_attention,alias,note,user_id
{{genGuid(tra_cpm)}},TRUE,{{date()}},main,12.5,City Pizza,{{useGuid(tag_res)}},{{useGuid(kew_pz)}},FALSE,,Mittagessen,{{useVar(user_id)}}
{{genGuid(tra_gsg)}},TRUE,{{date(-1&&month)->date(firstofmonth)->date(26&&day)}},main,0.92,Online Einkauf GOOGLE*GSUITE (Domains),{{useGuid(tag_hob)}},{{useGuid(kew_gog)}},FALSE,,,{{useVar(user_id)}}
{{genGuid(tra_spa)}},FALSE,{{date(-1&&month)->date(firstofmonth)->date(5&&day)}},main,3300,E-Banking Auftrag (Kontoübertrag) Patrik Müller YoungMember Sparkonto CH5789144419938272825,{{useGuid(tag_hob)}},,FALSE,,neues notebook (:,{{useVar(user_id)}}
{{genGuid(tra_twi)}},TRUE,{{date(-1&&month)->date(firstofmonth)->date(15&&day)}},main,16,Überweisung TWINT an HAUSER ERIK TWINT Nr. 2745919,,,TRUE,,,{{useVar(user_id)}}
{{genGuid(tra_twi2)}},FALSE,{{date(-1&&month)->date(firstofmonth)->date(7&&day)}},main,53,Gutschrift TWINT von FRANZISKA HUBER - SIX PAYMENT SERVICES AG,,,TRUE,,,{{useVar(user_id)}}
{{genGuid(tra_dig)}},TRUE,{{date(-1&&month)->date(firstofmonth)->date(20&&day)}},main,21,E-Banking Auftrag an Digitec Galaxus AG - Pfingstweidstrasse 60b 8005 Zürich CH,{{useGuid(tag_hob)}},{{useGuid(kew_pz)}},FALSE,,HDMI kabel,{{useVar(user_id)}}
{{genGuid(tra_lhn)}},FALSE,{{date(-1&&month)->date(firstofmonth)->date(25&&day)}},main,1552.25,Gutschrift 'Arbeitgeber' AG- Adresse SALAERZAHLUNG,{{useGuid(tag_sub)}},,FALSE,,,{{useVar(user_id)}}
{{genGuid(tra_sch)}},TRUE,{{date(-1&&month)->date(lastofmonth)}},main,150,E-Banking Dauerauftrag an Robert Müller - Monatliche Schulden,{{useGuid(tag_sub)}},{{useGuid(kew_dau)}},TRUE,,,{{useVar(user_id)}}
{{genGuid(tra_chr)}},TRUE,{{date(-1&&month)->date(lastofmonth)}},main,150,E-Banking Dauerauftrag an Kirche,,,TRUE,,,{{useVar(user_id)}}
{{genGuid(tra_wor)}},TRUE,{{date(-1&&month)->date(firstofmonth)->date(3&&day)}},main,12,Online Einkauf GOOGLE*GSUITE (Domains),{{useGuid(tag_hob)}},{{useGuid(kew_gog)}},FALSE,,Google Workspace Einkauf,{{useVar(user_id)}}
{{genGuid(tra_and)}},TRUE,{{date(-2&&month)->date(firstofmonth)->date(13&&day)}},main,31,Einkauf TWINT ANDY'S PLACE TWINT Nr. q34124341k,{{useGuid(tag_res)}},{{useGuid(kew_and)}},FALSE,,,{{useVar(user_id)}}
